id,u1,u2,u3,x,y,z
0,4.17,-3.4790234196063e-17,2.6786718993857e-18,0.1,0,0
0.16665,1.538153906522,-0.46499997486991,0.037621031868602,0.26665,0,0
0.3333,0.92979651553799,-0.54688288277506,0.046774581058366,0.4333,0,0
0.49995,0.65776470478607,-0.56593881780634,0.051058745518022,0.59995,0,0
0.6666,0.504435031298,-0.56348114555022,0.053526873154965,0.7666,0,0
0.83325,0.40612521114782,-0.55159601477954,0.055079842098331,0.93325,0,0
0.9999,0.3376799363739,-0.53505290032253,0.05607963037693,1.0999,0,0
1.16655,0.28737604413233,-0.51606914532026,0.056699900512088,1.26655,0,0
1.3332,0.24888858864096,-0.49583535894957,0.057038454497288,1.4332,0,0
1.49985,0.21849882842031,-0.47504550545168,0.057156357914077,1.59985,0,0
1.6665,0.19392529205534,-0.45411927830966,0.057094074029951,1.7665,0,0
1.83315,0.17366495026876,-0.43332720176025,0.056880801945382,1.93315,0,0
1.9998,0.15668238037767,-0.41284958722227,0.056538908735018,2.0998,0,0
2.16645,0.14225691722993,-0.39280607755184,0.056085887793423,2.26645,0,0
2.3331,0.12986320298402,-0.37327826587819,0.055536141712722,2.4331,0,0
2.49975,0.11910669766427,-0.35432182985442,0.054901961956807,2.59975,0,0
2.6664,0.10969200428893,-0.33597311905899,0.054193820494983,2.7664,0,0
2.83305,0.10139012800172,-0.31825525064884,0.053420926505192,2.93305,0,0
2.9997,0.094019465048532,-0.30118157069389,0.052591560998485,3.0997,0,0
3.16635,0.087437406122856,-0.28475784743823,0.051713068100729,3.26635,0,0
3.333,0.081528732089526,-0.26898430853859,0.050792103181153,3.433,0,0
3.49965,0.076198571338615,-0.25385680284839,0.049834790965852,3.59965,0,0
3.6663,0.071369876631311,-0.23936788505421,0.048846657348901,3.7663,0,0
3.83295,0.066978520686061,-0.22550754857781,0.047832771706078,3.93295,0,0
3.9996,0.062970230615186,-0.21226361454275,0.046797840641143,4.0996,0,0
4.16625,0.059299815849764,-0.19962247550712,0.045746135466053,4.26625,0,0
4.3329,0.05592881196892,-0.18756932337509,0.044681587717349,4.4329,0,0
4.49955,0.052823976036065,-0.17608823221736,0.043607852927529,4.59955,0,0
4.6662,0.049957089505408,-0.16516277288413,0.042528247764386,4.7662,0,0
4.83285,0.047303710574634,-0.15477601853055,0.041445819885212,4.93285,0,0
4.9995,0.044842363859644,-0.14491049230534,0.040363394561391,5.0995,0,0
5.16615,0.042554538400707,-0.1355487164385,0.039283524437274,5.26615,0,0
5.3328,0.040423974667951,-0.12667311190372,0.038208542762411,5.4328,0,0
5.49945,0.038436194833482,-0.1182658833242,0.037140598572523,5.59945,0,0
5.6661,0.036578563111736,-0.11030952174994,0.036081618716091,5.7661,0,0
5.83275,0.034839852609544,-0.10278665289027,0.035033349032602,5.93275,0,0
5.9994,0.033209956316859,-0.095679893626783,0.033997381090522,6.0994,0,0
6.16605,0.031679961622982,-0.088972313761114,0.032975125115325,6.26605,0,0
6.3327,0.03024187368895,-0.082647260950965,0.031967841813029,6.4327,0,0
6.49935,0.028888428697926,-0.076688206758437,0.030976662509893,6.59935,0,0
6.666,0.027613165357454,-0.071079168524845,0.030002571365909,6.766,0,0
6.83265,0.026410240752408,-0.065804526726424,0.0290464296683,6.93265,0,0
6.9993,0.02527430464482,-0.060848870553226,0.02810899066179,7.0993,0,0
7.16595,0.02420056254363,-0.056197380251934,0.02719088945669,7.26595,0,0
7.3326,0.023184648772249,-0.051835646156735,0.02629266115718,7.4326,0,0
7.49925,0.022222538901846,-0.047749519593432,0.025414751368534,7.59925,0,0
7.6659,0.021310603459793,-0.043925456300095,0.024557512335512,7.7659,0,0
7.83255,0.020445517805211,-0.040350342724332,0.023721215996942,7.93255,0,0
7.9992,0.019624199319121,-0.037011355632275,0.022906060968905,8.0992,0,0
8.16585,0.018843852447065,-0.033896267769354,0.022112173610574,8.26585,0,0
8.3325,0.018101903062837,-0.030993284778706,0.021339616913061,8.4325,0,0
8.49915,0.017395952274479,-0.028290915408423,0.020588394626455,8.59915,0,0
8.6658,0.016723813978457,-0.025778241119845,0.019858456118733,8.7658,0,0
8.83245,0.016083465996201,-0.023444765535039,0.019149701869776,8.93245,0,0
8.9991,0.01547301535847,-0.021280296172863,0.018461985308923,9.0991,0,0
9.16575,0.014890729584512,-0.019275180151551,0.017795120495797,9.26575,0,0
9.3324,0.01433499960256,-0.017420167097712,0.017148884879627,9.4324,0,0
9.49905,0.013804313166049,-0.015706302696706,0.016523019330314,9.59905,0,0
9.6657,0.013297280948011,-0.014125132946994,0.015917237822341,9.7657,0,0
9.83235,0.012812607927673,-0.012668580788977,0.015331228025285,9.93235,0,0
9.999,0.012349072696868,-0.011328851316395,0.014764649939434,10.099,0,0
10.16565,0.01190554929482,-0.010098607227982,0.014217146902755,10.26565,0,0
10.3323,0.011480984798685,-0.008970858964982,0.013688344496003,10.4323,0,0
10.49895,0.011074382980915,-0.007938881132622,0.0131778481307,10.59895,0,0
10.6656,0.010684822648623,-0.0069963618770312,0.012685254823496,10.7656,0,0
10.83225,0.010311439861103,-0.0061373059960638,0.012210150826088,10.93225,0,0
10.9989,0.0099534148576465,-0.0053559619231442,0.011752108457411,11.0989,0,0
11.16555,0.0096099875246223,-0.0046469477534708,0.011310698199492,11.26555,0,0
11.3322,0.0092804431186317,-0.0040051665754631,0.010885485397235,11.4322,0,0
11.49885,0.0089641016911534,-0.0034257432464188,0.010476026577073,11.59885,0,0
11.6655,0.0086603311886787,-0.0029041297207671,0.010081881514082,11.7655,0,0
