id,u,x,y,z
0,1,0,0,0
25.252525252525,0.95657123969837,25.252525252525,0,0
50.505050505051,0.91314247939674,50.505050505051,0,0
75.757575757576,0.86971371909511,75.757575757576,0,0
101.0101010101,0.82628495879348,101.0101010101,0,0
126.26262626263,0.78285619849185,126.26262626263,0,0
151.51515151515,0.73942743819022,151.51515151515,0,0
176.76767676768,0.69599867788859,176.76767676768,0,0
202.0202020202,0.65256991758696,202.0202020202,0,0
227.27272727273,0.60914115728533,227.27272727273,0,0
252.52525252525,0.56757959363277,252.52525252525,0,0
277.77777777778,0.54282279982187,277.77777777778,0,0
303.0303030303,0.51806600601097,303.0303030303,0,0
328.28282828283,0.49330921220007,328.28282828283,0,0
353.53535353535,0.46855241838918,353.53535353535,0,0
378.78787878788,0.44379562457828,378.78787878788,0,0
404.0404040404,0.41903883076738,404.0404040404,0,0
429.29292929293,0.39428203695648,429.29292929293,0,0
454.54545454545,0.36952524314558,454.54545454545,0,0
479.79797979798,0.34476844933468,479.79797979798,0,0
505.05050505051,0.32214046611498,505.05050505051,0,0
530.30303030303,0.30802772526009,530.30303030303,0,0
555.55555555556,0.29391498440521,555.55555555556,0,0
580.80808080808,0.27980224355032,580.80808080808,0,0
606.06060606061,0.26568950269543,606.06060606061,0,0
631.31313131313,0.25157676184054,631.31313131313,0,0
656.56565656566,0.23746402098566,656.56565656566,0,0
681.81818181818,0.22335128013077,681.81818181818,0,0
707.07070707071,0.20923853927588,707.07070707071,0,0
732.32323232323,0.19512579842099,732.32323232323,0,0
757.57575757576,0.18283336712016,757.57575757576,0,0
782.82828282828,0.1747883247788,782.82828282828,0,0
808.08080808081,0.16674328243743,808.08080808081,0,0
833.33333333333,0.15869824009606,833.33333333333,0,0
858.58585858586,0.15065319775469,858.58585858586,0,0
883.83838383838,0.14260815541333,883.83838383838,0,0
909.09090909091,0.13456311307196,909.09090909091,0,0
934.34343434343,0.12651807073059,934.34343434343,0,0
959.59595959596,0.11847302838923,959.59595959596,0,0
984.84848484848,0.11042798604786,984.84848484848,0,0
1010.101010101,0.10376651311944,1010.101010101,0,0
1035.3535353535,0.09918039431044,1035.3535353535,0,0
1060.6060606061,0.09459427550144,1060.6060606061,0,0
1085.8585858586,0.09000815669244,1085.8585858586,0,0
1111.1111111111,0.085422037883441,1111.1111111111,0,0
1136.3636363636,0.080835919074441,1136.3636363636,0,0
1161.6161616162,0.076249800265442,1161.6161616162,0,0
1186.8686868687,0.071663681456442,1186.8686868687,0,0
1212.1212121212,0.067077562647443,1212.1212121212,0,0
1237.3737373737,0.062491443838443,1237.3737373737,0,0
1262.6262626263,0.058891213828481,1262.6262626263,0,0
1287.8787878788,0.056276872617558,1287.8787878788,0,0
1313.1313131313,0.053662531406634,1313.1313131313,0,0
1338.3838383838,0.05104819019571,1338.3838383838,0,0
1363.6363636364,0.048433848984787,1363.6363636364,0,0
1388.8888888889,0.045819507773863,1388.8888888889,0,0
1414.1414141414,0.043205166562939,1414.1414141414,0,0
1439.3939393939,0.040590825352016,1439.3939393939,0,0
1464.6464646465,0.037976484141092,1464.6464646465,0,0
1489.898989899,0.035362142930168,1489.898989899,0,0
1515.1515151515,0.033422215048918,1515.1515151515,0,0
1540.404040404,0.031931896054118,1540.404040404,0,0
1565.6565656566,0.030441577059317,1565.6565656566,0,0
1590.9090909091,0.028951258064516,1590.9090909091,0,0
1616.1616161616,0.027460939069715,1616.1616161616,0,0
1641.4141414141,0.025970620074915,1641.4141414141,0,0
1666.6666666667,0.024480301080114,1666.6666666667,0,0
1691.9191919192,0.022989982085313,1691.9191919192,0,0
1717.1717171717,0.021499663090512,1717.1717171717,0,0
1742.4242424242,0.020009344095712,1742.4242424242,0,0
1767.6767676768,0.018967553454369,1767.6767676768,0,0
1792.9292929293,0.018117989250222,1792.9292929293,0,0
1818.1818181818,0.017268425046075,1818.1818181818,0,0
1843.4343434343,0.016418860841929,1843.4343434343,0,0
1868.6868686869,0.015569296637782,1868.6868686869,0,0
1893.9393939394,0.014719732433635,1893.9393939394,0,0
1919.1919191919,0.013870168229489,1919.1919191919,0,0
1944.4444444444,0.013020604025342,1944.4444444444,0,0
1969.696969697,0.012171039821195,1969.696969697,0,0
1994.9494949495,0.011321475617049,1994.9494949495,0,0
2020.202020202,0.010764123924119,2020.202020202,0,0
2045.4545454545,0.010279825358994,2045.4545454545,0,0
2070.7070707071,0.0097955267938693,2070.7070707071,0,0
2095.9595959596,0.0093112282287443,2095.9595959596,0,0
2121.2121212121,0.0088269296636192,2121.2121212121,0,0
2146.4646464646,0.0083426310984942,2146.4646464646,0,0
2171.7171717172,0.0078583325333692,2171.7171717172,0,0
2196.9696969697,0.0073740339682442,2196.9696969697,0,0
2222.2222222222,0.0068897354031192,2222.2222222222,0,0
2247.4747474747,0.0064054368379941,2247.4747474747,0,0
2272.7272727273,0.0061085377319563,2272.7272727273,0,0
2297.9797979798,0.0058324607880393,2297.9797979798,0,0
2323.2323232323,0.0055563838441224,2323.2323232323,0,0
2348.4848484848,0.0052803069002054,2348.4848484848,0,0
2373.7373737374,0.0050042299562884,2373.7373737374,0,0
2398.9898989899,0.0047281530123714,2398.9898989899,0,0
2424.2424242424,0.0044520760684544,2424.2424242424,0,0
2449.4949494949,0.0041759991245374,2449.4949494949,0,0
2474.7474747475,0.0038999221806204,2474.7474747475,0,0
2500,0.0036238452367034,2500,0,0
